Section,Act,Title,Description,Bailable,Cognizable,Category,Notes
Section 227,Code of Criminal Procedure (CrPC),Discharge,"If upon consideration of the record of the case and the documents submitted therewith and after hearing the submissions of the accused and the prosecution in this behalf the Judge considers that there is not sufficient ground for proceeding against the accused he shall discharge the accused and record his reasons for so doing.",N/A,N/A,Discharge,Judge may discharge if no sufficient ground to proceed
Section 228,Code of Criminal Procedure (CrPC),Framing of Charge,"If after such consideration and hearing the Judge is of opinion that there is ground for presuming that the accused has committed an offence which (a) is not exclusively triable by the Court of Session he may instead of framing a charge frame a notice to the accused as if the case were a summons case and proceed accordingly; (b) is exclusively triable by the Court he shall frame in writing a charge against the accused.",N/A,N/A,Charge,Framing of charges in sessions trial
Section 244,Code of Criminal Procedure (CrPC),Evidence for Defence,"(1) When the case for the prosecution is concluded the Magistrate shall for the purpose of enabling the accused to enter on his defence question him generally on the case and in particular put to him such questions as may be necessary for the purpose of enabling him to explain any circumstances appearing in the evidence against him. (2) The accused shall then be called on to enter on his defence and produce his evidence; and if the accused puts in any written statement the Magistrate shall file it with the record.",N/A,N/A,Defence Evidence,Accused entitled to present defence evidence
Section 245,Code of Criminal Procedure (CrPC),Procedure in Trial of Summons Cases by Magistrates,"(1) In the trial of summons-cases by Magistrates the Magistrate shall when the accused appears or is brought before him proceed to hear the prosecution and take all such evidence as may be produced in support of the prosecution and also to hear the accused and take all such evidence as he produces in his defence. (2) The Magistrate may if he thinks fit on the application of the prosecution or the accused issue a summons to any witness directing him to attend or to produce any document or other thing. (3) The Magistrate may if he thinks fit at any previous stage of the proceedings and shall if the case is adjourned for more than a week take a bond with or without sureties for the appearance of the accused.",N/A,N/A,Summons Trial,Procedure for summary trial
Section 313,Code of Criminal Procedure (CrPC),Power to Examine the Accused,"(1) In every inquiry or trial for the purpose of enabling the accused personally to explain any circumstances appearing in the evidence against him the Court (a) may at any stage without previously warning the accused put such questions to him as the Court considers necessary; (b) shall after the witnesses for the prosecution have been examined and before he is called on for his defence question him generally on the case. (2) No oath shall be administered to the accused when he is examined under sub-section (1). (3) The accused shall not render himself liable to punishment by refusing to answer such questions or by giving false answers to them. (4) The answers given by the accused may be taken into consideration in such inquiry or trial and put in evidence for or against him in any other inquiry into or trial for any other offence which such answers may tend to show he has committed.",N/A,N/A,Examination of Accused,Accused must be examined under Section 313
Section 319,Code of Criminal Procedure (CrPC),Power to Proceed Against Other Persons Appearing to be Guilty of Offence,"(1) Where in the course of any inquiry into or trial of an offence it appears from the evidence that any person not being the accused has committed any offence for which such person could be tried together with the accused the Court may proceed against such person for the offence which he appears to have committed. (2) Where such person is not attending the Court he may be arrested or summoned as the circumstances of the case may require for the purpose aforesaid. (3) Any person attending the Court although not under arrest or upon a summons may be detained by such Court for the purpose of the inquiry into or trial of the offence which he appears to have committed. (4) Where the Court proceeds against any person under sub-section (1) then (a) the proceedings in respect of such person shall be commenced afresh and the witnesses re-heard; (b) subject to the provisions of clause (a) the case may proceed as if such person had been an accused person when the Court took cognizance of the offence upon which the inquiry or trial was commenced.",N/A,N/A,Additional Accused,Court can proceed against additional persons during trial
Section 357,Code of Criminal Procedure (CrPC),Order to Pay Compensation,"(1) When a Court imposes a sentence of fine or a sentence (including a sentence of death) of which fine forms a part the Court may when passing judgment order the whole or any part of the fine recovered to be applied (a) in defraying the expenses properly incurred in the prosecution; (b) in the payment to any person of compensation for any loss or injury caused by the offence when compensation is in the opinion of the Court recoverable by such person in a Civil Court; (c) when any person is convicted of any offence for having caused the death of another person or of having abetted the commission of such an offence in the payment to the persons who are under the Fatal Accidents Act 1855 entitled to recover damages from the person sentenced for the loss resulting to them from such death; (d) when any person is convicted of any offence which includes theft extortion or criminal misappropriation or which has caused damage to any property in the payment to the person of the amount of the loss or damage caused to him by the offence.",N/A,N/A,Compensation,Victim compensation from fine amount
Section 389,Code of Criminal Procedure (CrPC),Suspension of Sentence Pending the Appeal and Release of Appellant on Bail,"(1) Pending any appeal by a convicted person the Appellate Court may for reasons to be recorded by it in writing order that the execution of the sentence or order appealed against be suspended and also if he is in confinement that he be released on bail or on his own bond. (2) The power conferred by this section on an Appellate Court may be exercised also by the High Court in the case of an appeal by a convicted person to a Court subordinate thereto. (3) Where the convicted person satisfies the Court that he intends to present an appeal the Court shall except where a sentence of death has been passed or where taking into consideration the nature of the offence the antecedents of the convicted person or any other relevant factor the Court is satisfied that the convicted person if released on bail is likely to abscond or commit any offence order that pending the filing of the appeal the execution of the sentence be suspended. (4) When the appellant is ultimately sentenced to imprisonment for a term or to imprisonment for life the period of detention if any already undergone by him shall be set off against the term of imprisonment.",Conditional,N/A,Appeal,Suspension of sentence and bail during appeal
Section 397,Code of Criminal Procedure (CrPC),Calling for Records to Exercise Powers of Revision,"(1) The High Court or any Sessions Judge may call for and examine the record of any proceeding before any inferior Criminal Court situate within its or his local jurisdiction for the purpose of satisfying itself or himself as to the correctness legality or propriety of any finding sentence or order recorded or passed and as to the regularity of any proceedings of such inferior Court and may when calling for such record direct that the execution of any sentence or order be suspended and if the accused is in confinement that he be released on bail or on his own bond pending the examination of the record.",Conditional,N/A,Revision,Revisional jurisdiction of High Court and Sessions Court
Section 438,Code of Criminal Procedure (CrPC),Direction for Grant of Bail to Person Apprehending Arrest,"(1) When any person has reason to believe that he may be arrested on accusation of having committed a non-bailable offence he may apply to the High Court or the Court of Session for a direction under this section that in the event of such arrest he shall be released on bail; and that Court may after taking into consideration inter alia the following factors namely (i) the nature and gravity of the accusation; (ii) the antecedents of the applicant including the fact as to whether he has previously undergone imprisonment on conviction by a Court in respect of any cognizable offence; (iii) the possibility of the applicant to flee from justice; and (iv) where the accusation has been made with the object of injuring or humiliating the applicant by having him so arrested either reject the application forthwith or issue an interim order for the grant of anticipatory bail; Provided that where the High Court or as the case may be the Court of Session has not passed any interim order under this sub-section or has rejected the application for grant of anticipatory bail and the accused is arrested by the officer in charge of a police station on the basis of the accusation apprehended in such application the High Court or as the case may be the Court of Session shall decide the application for grant of anticipatory bail within a period of two weeks from the date of such arrest.",Anticipatory,N/A,Anticipatory Bail,Anticipatory bail for non-bailable offenses
Section 482,Code of Criminal Procedure (CrPC),Saving of Inherent Powers of High Court,"Nothing in this Code shall be deemed to limit or affect the inherent powers of the High Court to make such orders as may be necessary to give effect to any order under this Code or to prevent abuse of the process of any Court or otherwise to secure the ends of justice.",N/A,N/A,Inherent Powers,Inherent powers of High Court to prevent abuse of process
